metric,direction,baseline_518,finetuned_518,absolute_change,improvement_percent,better_model
mae,lower,2.940140447111,1.8775421840039157,-1.0625982631070845,36.14107156517642,Fine-tuned
rmse,lower,5.339037545017931,4.079450139332619,-1.2595874056853118,23.59203124279737,Fine-tuned
abs_rel,lower,0.17490359108919334,0.0932196982578042,-0.08168389283138915,46.702238829238134,Fine-tuned
sq_rel,lower,1.0129742248424412,0.5621896453912795,-0.4507845794511617,44.501090787505184,Fine-tuned
delta_1,higher,0.7656309639086576,0.904224210061202,0.13859324615254442,18.10183400172398,Fine-tuned
delta_2,higher,0.94116683432203,0.978912089048501,0.037745254726471056,4.010474376061166,Fine-tuned
delta_3,higher,0.9848151247073865,0.9947630418637009,0.009947917156314379,1.0101304200897765,Fine-tuned
